"NOMBRE";"SEXO";"AÑO DE NACIMIENTO";"G PARLAMENTARIO";"ECIVIL";"NIVEL ACADEMICO";"ORIGEN";"ESCAÑO";"NAINE";"CARGO";"Campo11";"Campo12";"Campo13";"Campo14";"Campo15";"Campo16";"Campo17";"Campo18";"Campo19"
"Segundo, González García";"Hombre";1988,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltero";"Licenciado en Economía, Universidad Carlos III. Licenciado en Periodismo, Universidad Carlos III. Economista.";"Asturias";;;"Diputado. Responsable de Finanzas y Transparencia en Podemos. Miembro del Consejo Ciudadano Estatal y del Consejo Ciudadano Autonómico de Asturies. ";;;;;;;;;
"María del Carmen, González Guinda";"Mujer";1961,00;"Grupo Popular";"Casada";"Licenciada en Ciencias Químicas por la Universidad de Valladolid. Profesora de Educación Secundaria (especialidad Física y Química).";"León";;;"Diputada. Alcaldesa de Garrafe de Torío (León). Vicesecretaria provincial.";;;;;;;;;
"Ángel Luis, González Muñoz";"Hombre";1979,00;"Grupo Popular";"Casado";"Estudios superiores de Ciencias Políticas y Sociología. Universidad de Granada.";"Málaga";;;"Diputado. Portavoz del Gobierno del Ayuntamiento de Antequera. Coordinador Territorial Nacional PP. Vocal Suplente de la Diputación Permanente.";;;;;;;;;
"Antonio, González Terol";"Hombre";1978,00;"Grupo Popular";"Casado";"Ingeniero Superior Industrial del ICAI. Executive MBA del Instituto del Empresa. PLGP por el IESE, Universidad de Navarra. ";"Madrid";;;"Diputado. Alcalde de Boadilla del Monte. Vocal Suplente de la Diputación Permanente. Miembro de la Delegación española en la Asamblea Parlamentaria de la Unión para el Mediterráneo.";;;;;;;;;
"Marta, González Vázquez";"Mujer";1965,00;"Grupo Popular";"Casada";"Doctora en Historia Medieval. Profesora Universitaria. Documentalista en el Grupo de Empresas Sargadellos. ";"A Coruña";;;"Diputada. Vocal de la Diputación Permanente. Vicepresidenta Primera de la Comisión de segto. y eval. acuerdos Pacto de Estado Violencia Género desde el 20/09/2018 al 05/03/2019,";;;;;;;;;
"María, González Veracruz";"Mujer";1979,00;"Grupo Socialista";"Pareja de hecho ";"Licenciada en Bioquímica por la Universidad de Murcia. Tesina de licenciatura en Bioquímica. ";"Murcia";;;"Diputada. Vocal de la Diputación Permanente. Vicepresidenta Primera de la Comisión de segto. y eval. acuerdos Pacto de Estado Violencia Género desde el 20/09/2018 al 05/03/2019. Portavoz de la Comisión de Ciencia, Innovación y Universidades desde el 09/07";;;;;;;;;
"Juan Luis, Gordo Pérez";"Hombre";1959,00;"Grupo Socialista";"Casado";"Ingeniero Industrial. Funcionario Instituciones Sanitarias (situación servicios especiales). ";"Segovia";;;"Diputado. Secretario General del PSOE Segovia. Secretario Segundo del Congreso de los Diputados desde el 19/07/2016 al 05/03/2019. Secretario Segundo de la Mesa del Congreso desde el 19/07/2016 al 05/03/2019.Secretario Segundo de la Comisión de Reglamento";;;;;;;;;
"Txema, Guijarro García";"Hombre";1975,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Casado";"Licenciado en Economía por la Universidad Autónoma de Madrid. ";"Alicante";;;"Diputado. Vocal Suplente de la Diputación Permanente
Miembro Titular de la Delegación española en la Asamblea Parlamentaria de la OTAN. Vicepresidente Segundo de la Comisión de Asuntos Exteriores desde el 13/09/2016 al 08/03/2017.";;;;;;;;;
"Lidia, Guinart Moreno";"Mujer";1966,00;"Grupo Socialista";"Casada";"Periodista y escritora. Licenciada en Ciencias de la Información (UAB). Posgrado en periodismo digital (UOC). Estudios de Ciencias Políticas (UNED). ";"Barcelona";;;"Diputada. Consellera Nacional del PSC. Vicepresidenta Primera de la Comisión de Política Territorial y Función Pública desde el 27/06/2018 al 05/03/2019. ";;;;;;;;;
"Antonio, Gutiérrez Limones";"Hombre";1963,00;"Grupo Socialista";"Casado";"Licenciado en Derecho.";"Sevilla";;;"Diputado. Alcalde de Alcalá de Guadaira. Senador. Miembro Titular de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa. Vocal de la Delegación española en la Asamblea Parlamentaria de la Organización para la Seguridad y Cooperación";;;;;;;;;
"Miguel Ángel, Gutiérrez Vivas";"Hombre";1964,00;"Grupo Ciudadanos";"Separado";"Ingeniero. Directivo de empresas. ";"Madrid";;;"Diputado. Delegado Territorial de la Comunidad de Madrid. Vocal de la Diputación Permanente. Miembro Titular de la Delegación española en la Asamblea Parlamentaria de la OTAN";;;;;;;;;
"Miguel Ángel, Heredia Díaz";"Hombre";1966,00;"Grupo Socialista";"Casado";"Diplomado en Magisterio. Doctor cum laude en Ciencias Biológicas por la Universidad de Málaga. Titulado Superior en cultivos celulares en la Universidad de Málaga. ";"Málaga";;;"Diputado. Secretario General del PSOE-A (Málaga).";;;;;;;;;
"Silvia, Heredia Martín";"Mujer";1979,00;"Grupo Popular";"Casada";"Licenciada en Ciencias del Trabajo por la Universidad de Córdoba y Diplomada en Relaciones Laborales por la Universidad Pablo de Olavide. Máster en Prevención de Riesgos Laborales. ";"Sevilla";;;"Diputada. Concejal del Ayuntamiento de Écija. ";;;;;;;;;
"María del Carmen, Hernández Benito";"Mujer";1963,00;"Grupo Popular";"Separada";"Licenciada en Ciencias Físicas por la Universidad Complutense. Funcionaria de Carrera del Cuerpo de Profesores de Enseñanza Secundaria por la especialidad de Matemáticas.";"Las Palmas";;;"Diputada. Vicesecretaria organización regional canarias (2006-2016). Secretaria Primera de la Comisión de Investigación accidente del vuelo JK 5022 de Spanair desde el 18/04/2018 al 05/03/2019.";;;;;;;;;
"Rafael Antonio, Hernando Fraile";"Hombre";1961,00;"Grupo Popular";"Divorciado";"Licenciado en Derecho, Máster en Administración y Dirección de Empresas por ICADE.";"Almería";;;"Diputado. Portavoz del Grupo Parlamentario Popular. Vocal de la Diputación Permanente. ";;;;;;;;;
"Antonio, Hernando Vera";"Hombre";1961,00;"Grupo Socialista";"Divorciado";"Licenciado en Derecho. ";"Madrid";;;"Diputado. Portavoz de la Comisión Mixta de Seguridad Nacional desde el 01/07/2017 al 05/03/2019. ";;;;;;;;;
"Sofía, Hernanz Costa";"Mujer";1970,00;"Grupo Socialista";"Casada";"Licenciada en Derecho. Letrada del Ayuntamiento de Ibiza (en situación de servicios especiales). ";"Islas Baleares";;;"Diputada. Vocal de la Diputación Permanente. Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1). Miembro Suplente de la Delegación española en la Asamblea Parlamentaria de la OTAN.";;;;;;;;;
"Jose Alberto, Herrero Bono";"Hombre";1978,00;"Grupo Popular ";"Casado";"Ingeniero Industrial. Máster en Prevención de Riesgos Laborales. Máster de Profesorado de E.S.O. y F.P.";"Teruel";;;"Diputado. Concejal del Ayuntamiento de Calanda. ";;;;;;;;;
"María Auxiliadora, Honorato Chulián";"Mujer";1974,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltera";"Licenciada en Derecho y Antropología Social. Cuerpo Superior de Gestión Administrativa de la Junta de Andalucía. Funcionaria ";"Sevilla";;;"Diputada. Miembro del Consejo Ciudadano Estatal de Podemos. Secretaria de Acción Institucional y miembro del Consejo Ciudadano andaluz.";;;;;;;;;
"Belén, Hoyo Juliá";"Mujer";1984,00;"Grupo Popular";"Casada";"Licenciada en Derecho por la Universitat de Valencia. Licenciada en Ciencias Políticas y de la Administración por la Universitat de Valencia. Estudios en Humanidades de la Universitat de Valencia. ";"Valencia";;;"Diputada. Directora General de Juventud de la Generalitat Valenciana. Vicesecretaria de Organización Nacional de Nuevas Generaciones del Partido Popular. Coordinadora General del Partido Popular de la Provincia de Valencia.";;;;;;;;;
