"NOMBRE";"SEXO";"AÑO DE NACIMIENTO";"G PARLAMENTARIO";"ECIVIL";"NIVEL ACADEMICO";"ORIGEN";"ESCAÑO";"NAINE";"CARGO";"Campo11";"Campo12";"Campo13";"Campo14";"Campo15";"Campo16";"Campo17";"Campo18";"Campo19"
"Fernando, Maura Barandiarán";"Hombre";1955,00;"Grupo Ciudadanos";"Casado";"Licenciado en Derecho. Licenciado en Economía. ";"Madrid";;;"Diputado. Miembro Suplente de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa.";;;;;;;;;
"Eduardo Javier, Maura Zorita";"Hombre";1981,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltero";"Doctor en Filosofía (UCM). Licenciado en Filosofía (Universidad de Deusto). Licenciado en Sociología (Universidad de Deusto).";"Bizkaia";;;"Diputado. Responsable Estatal del Área de Cultura de Podemos. Miembro del Patronato de la Fundación Instituto 25-M Democracia. Portavoz de la Comisión de Cultura y Deporte desde el 21/06/2018 al 05/03/2019. ";;;;;;;;;
"Rafael, Mayoral Perales";"Hombre";1974,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltero";"Licenciado en Derecho. ";"Madrid";;;"Diputado. Secretario de Sociedad Civil y Movimiento Popular de Podemos. Miembro del Consejo Ciudadano Estatal de Podemos. Vocal de la Diputación Permanente. ";;;;;;;;;
"Guillermo Antonio, Meijón Couselo";"Hombre";1958,00;"Grupo Socialista";"Casado";"Profesor de EGB. Licenciado en Filosofía y Ciencias de la Educación. Orientador escolar. ";"Pontevedra";;;"Diputado. Vicepresidente Primero de la Comisión de Educación y Formación Profesional desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"Joan, Mena Arca";"Hombre ";1975,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltero";"Licenciado en Filología Hispánica.";"Barcelona";;;"Diputado. Secretario Segundo de la Comisión Mixta para las Relaciones con el Tribunal de Cuentas desde el 23/11/2016 al 05/03/2019.";;;;;;;;;
"Íñigo, Méndez de Vigo Montojo";"Hombre";1956,00;"Grupo Popular";"Casado";"Licenciado en Derecho por la Universidad Complutense. Letrado de las Cortes Generales. 
Catedrático Jean Monnet Ad Honorem.";"Palencia";;;"Diputado. Presidente del Colegio de Europa. Ministro de Educación, Cultura y Deporte desde 2015. Vocal de la Diputación Permanente. ";;;;;;;;;
"María Virginia, Milán Salmerón";"Mujer";1983,00;"Grupo Ciudadanos";"Soltera";"Licenciada en Derecho. ";"Sevilla";;;"Diputada. Portavoz de la Comisión de Derechos de la Infancia y Adolescencia desde el 28/09/2016 al 05/03/2019.";;;;;;;;;
"Sergi, Miquel i Valentí";"Hombre";1989,00;"Grupo Mixto PdeCat";"Soltero";"Bachelor of Art and Design. Southampton University. 
Grado en diseño. ELISAVA. Universitat Pompeu Fabra. ";"Girona";;;"Diputado. Secretario General de las Juventudes Nacionalistas de Catalunya. Vinculado al mundo del ocio juvenil.";;;;;;;;;
"Francisco, Molinero Hoyos";"Hombre";1953,00;"Grupo Popular";"Casado";"Licenciado en Derecho. ";"Albacete";;;"Diputado. Vocal del Comité Nacional de Derechos y Garantías del Partido Popular. Miembro del Comité Regional de CLM del Partido Popular. Vicepresidente Primero de la Comisión de Justicia desde el 11/09/2018 al 05/03/2019.";;;;;;;;;
"María Sandra, Moneo Díez";"Mujer";1969,00;"Grupo Popular";"Casada";"Licenciada en Derecho. Programa de Liderazgo para la Gestión Pública del IESE.";"Burgos";;;"Diputada. Secretaria de Educación e Igualdad del Partido Popular. Miembro del C.E.N. del Partido Popular. Vocal Suplente de la Diputación Permanente.";;;;;;;;;
"Manuel, Monereo Pérez";"Hombre";1950,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Casado";"Licenciado en Derecho. Diplomado en Ciencias Políticas. ";"Córdoba";;;"Diputado. Miembro de la dirección de Izquierda Unida. Miembro Suplente de la Delegación española en la Asamblea Parlamentaria de la OTAN.";;;;;;;;;
"Irene María, Montero Gil";"Mujer";1988,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltera";"Licenciada en Psicología por la UAM. Máster en Psicología de la Educación. Actualmente realiza su tesis doctoral. ";"Madrid";;;"Diputada. Miembro del Consejo Ciudadano de Podemos y del Consejo de Coordinación. Responsable de la Oficina del Secretario General.Vocal de la Diputación Permanente.";;;;;;;;;
"Alberto, Montero Soler";"Hombre";1970,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Casado";"Doctor en Ciencias Económicas por la Universidad de Málaga. ";"Málaga";;;"Diputado. Responsable del área de Economía de Podemos. Presidente de la Comisión de Trabajo, Migraciones y Seguridad Social desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"Cristóbal Ricardo, Montoro Romero";"Hombre";1950,00;"Grupo Popular";"Casado";"Doctor en Ciencias Económicas. Catedrático de Universidad (Hacienda Pública). ";"Madrid";;;"Diputado. Ministro de Hacienda y Función Pública. Vocal de la Diputación Permanente. Presidente de la Comisión de Economía y Empresa desde el 13/09/2018 al 05/03/2019.";;;;;;;;;
"Dolors, Montserrat Montserrat";"Mujer";1973,00;"Grupo Popular";"Divorciada";"Licenciada en Derecho por la Universidad Abad Oliba CEU (Barcelona).Máster de la Escuela Práctica Jurídica del Colegio de Abogados de Barcelona. Programa de Derecho Agrario Comunitario impartido por la Università degli Studi di Ferrara (Italia). Posgrado ";"Barcelona";;;"Diputada. Ministra de Sanidad, Servicios Sociales e Igualdad. Miembro del Comité Ejecutivo del PP de Catalunya y Nacional. Vocal de la Diputación Permanente. Portavoz Titular de la Junta de Portavoces desde el 27/07/2018 al 05/03/2019.";;;;;;;;;
"Tristana María, Moraleja Gómez";"Mujer";1971,00;"Grupo Popular";"No consta";"Licenciada en Ciencias Económicas y Empresariales. Máster en Administración Financiera y Tributaria. ";"A Coruña";;;"Diputada. Funcionaria del Cuerpo Superior de la Xunta de Galicia (Grupo 1). Concejala en el Ayuntamiento de Oleiros (A Coruña). ";;;;;;;;;
"Ramón, Moreno Bustos";"Hombre";1966,00;"Grupo Popular";"Casado";"Diplomado en Derecho Tributario, Marketing y Asesoría de Empresas. ";"Zaragoza";;;"Diputado. Diplomado en Derecho Tributario, Marketing y Asesoría de Empresas. Vocal Suplente de la Diputación Permanente. Miembro Titular de la Delegación española en la Asamblea Parlamentaria de la OTAN.";;;;;;;;;
"Rubén, Moreno Palanques";"Hombre";1958,00;"Grupo Popular";"Divorciado";"Doctor en Medicina. Investigador de los Institutos Nacionales de la Salud de los Estados Unidos. Investigador del Instituto de Investigación Genómica, EEUU. Investigador del University of Kansas Medical Center, EEUU. ";"Valencia";;;"Diputado. Secretario de Estado de Relaciones con las Cortes. Coordinador de Comisiones del GP. Secretario General de Sanidad y Consumo, Ministerio de Sanidad, Servicios Sociales e Igualdad. Presidente de la Agencia Española de Medicamentos y Productos San";;;;;;;;;
"María Jesús, Moro Almaraz";"Mujer";1961,00;"Grupo Popular";"Divorciada";"Doctora en derecho. Profesora titular de derecho civil en la Universidad de Salamanca.Directora Grupo Investigación sobre Derecho y Nuevas Tecnologías.";"Salamanca";;;"Diputada,  Vicesecretaría de Organización del Partido Popular de Salamanca. Secretaria de Asesoría Jurídica del Partido Popular de Castilla y León. Miembro Comité Ejecutivo PP CyL y PP Salamanca.";;;;;;;;;
"Jaume, Moya Matas";"Hombre";1972,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Divorciado";"Licenciado en Derecho, Universidad de Barcelona. Postgrado en Gestión Inmobiliaria, Universidad Ramón Llull. Procurador de los Tribunales (Cervera, Lleida).";"Lleida";;;"Diputado. Activismo social, dinamización cultural.";;;;;;;;;
"Pedro José, Muñoz González";"Hombre";1963,00;"Grupo Socialista";"Casado";"Licenciado en Derecho por la Universidad Autónoma de Madrid. Diploma Derecho Tributario. Escuela Práctica Jurídica Universidad Complutense de Madrid. ";"Ávila";;;"Diputado. Portavoz adjunto de la Comisión de Justicia desde el 01/07/2017 al 05/03/2019. Abogado Colegios de Abogados Ávila y Madrid.";;;;;;;;;
"Álvaro María, Nadal Belda";"Hombre";1970,00;"Grupo Popular";"Divorciado";"icenciado en Derecho. Licenciado en Ciencias Económicas y Empresariales. Técnico Comercial y Economista del Estado. Cursos de Doctorado en la Universidad de Harvard.";"Madrid";;;"Diputado.Ministro de Energía, Turismo y Agenda Digital. Desde 2004 Secretario de Economía del Partido Popular. Desde 2011 Secretario de Estado Director de la Oficina Económica del Presidente del Gobierno. Vocal de la Diputación Permanente. ";;;;;;;;;
"Fernando, Navarro Fernández-Rodríguez";"Hombre";1962,00;"Grupo Ciudadanos";"Casado";"Licenciado en Derecho por la Universidad de Alcalá de Henares. MBA. Instituto de Empresa. ";"Islas Baleares";;;"Diputado. Secretario Segundo de la Comisión de Investigación accidente del vuelo JK 5022 de Spanair desde el 18/04/2018 al 05/03/2019.";;;;;;;;;
"Micaela, Navarro Garzón";"Mujer";1956,00;"Grupo Socialista";"Separada";"Auxiliar de clínica.";"Jaén";;;"Diputada. Presidenta del PSOE-A. Vicepresidenta Segunda de la Diputación Permanente. Vicepresidenta Segunda de la Mesa del Congreso desde el 19/07/2016 al 05/03/2019. Vicepresidenta Segunda de la Comisión de Reglamento desde el 12/09/2016 al 05/03/2019.";;;;;;;;;
"Carmen, Navarro Lacoba";"Mujer ";1978,00;"Grupo Popular";"Casada";"Licenciada en Derecho. Letrada de la Comunidad de Madrid. Máster en Gestión de Administraciones Públicas. ";"Albacete";;;"Diputada. Presidenta de la Comisión Provincial del Partido Popular de Albacete de Sanidad y Asuntos Sociales. Coordinadora de la Ruta Social del Partido Popular de Albacete.";;;;;;;;;
"Miriam, Nogueras i Camero";"Mujer";1980,00;"Grupo Mixto PdeCat";"Casada";"Emprendedora. Cursando un post-grado de marketing digital y comercio electrónico. ";"Barcelona";;;"Diputada. Co-propietaria de una empresa de nueva creación del sector textil, especializada en hilaturas. Miembro del Cercle Catalá de Negocis. Miembro de la Junta de ASECIEMA (empresarial textil) y de MODACC. ";;;;;;;;;
"Jaime Eduardo de, Olano Vela";"Hombre";1970,00;"Grupo Popular";"Casado";"Licenciado en Derecho. ";"Lugo";;;"Diputado. Concejal en Viveiro desde 2011. Vocal Suplente de la Diputación Permanente.";;;;;;;;;
"Joan, Olòriz Serra";"Hombre";1954,00;"Grupo Esquerra Republicana";"Casado";"Licenciado en Filosofía i Letras, sección historia por la U.A.B. Doctor en Historia por la Universitat de Girona. Catedrático de Secundaria. ";"Girona";;;"Diputado. Presidente y Portavoz de la Comisión de Ciencia, Innovación y Universidades desde el 27/06/2018 al 05/03/2019.";;;;;;;;;
"Ana María, Oramas González-Moro";"Mujer";1959,00;"Grupo Mixto Coalición Canaria";"Casada";"Licenciada en Ciencias Económicas por la Universidad de La Laguna. Directora de la Sociedad de Garantías Recíprocas de Tenerife. ";"Santa Cruz de Tenerife";;;"Diputada. Alcaldesa de San Cristóbal de La Laguna. Viceconsejera de Administración Pública del Gobierno de Canarias. Vocal Suplente de la Diputación Permanente. Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1)";;;;;;;;;
"Gonzalo, Palacín Guarné";"Hombre";1984,00;"Grupo Socialista";"Casado";"Licenciado en Ciencias Económicas. Máster en Mercados Financieros por la UPF. Máster en Creación, Gestión y Desarrollo de Franquicias (Universitat de Barcelona). Máster en Banca Comercial (CIFF-U. Alcalá).";"Huesca";;;"Diputado. Secretario General del PSOE de Monzón y Concejal de Casco Histórico y Urbanismo y Desarrollo.";;;;;;;;;
"Teresa, Palmer Tous";"Mujer";1969,00;"Grupo Popular";"Casada";"Licenciada en Ciencias Económicas y Empresariales. Doctora en Ciencias Económicas y Empresariales. ";"Islas Baleares";;;"Diputada. Delegada del Gobierno (2012-2016). Portavoz de la Comisión de Hacienda desde el 10/09/2018 al 05/03/2019.";;;;;;;;;
"Miguel Ángel, Paniagua Núñez";"Hombre";1964,00;"Grupo Popular";"Casado";"Licenciado en Ciencias Economicas y Empresariales en la Universidad de Valladolid. Executive MBA por la Escuela Europea de Negocios. European Financial Advisor y miembro de EFPA España. ";"Palencia";;;"Diputado. 18 años en el sector bancario. 7 años como Agente de Banca Privada y Asesor financiero de empresas. 2 años como Secretario de Comunicación del Sindicato CSICA-CE. Coordinador del Comité de Participación del Partido Popular de Palencia. Miembro d";;;;;;;;;
"Sergio, Pascual Peña";"Hombre ";1977,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Separado";"Ingeniero de Telecomunicaciones. Licenciado en Antropología Social.";"Sevilla";;;"Diputado. Experiencia en Políticas Públicas y Sociedad de la Información. Funcionario del Cuerpo Superior Facultativo de Ingenieros de la Junta de Andalucía. Delegado Sindical SAT Junta de Andalucía. Consejero Ciudadano andaluz y miembro de la Comisión de";;;;;;;;;
"Ana María, Pastor Julián";"Mujer";1957,00;"Grupo Popular";"Casada";"Licenciada en Medicina y Cirugía. Funcionaria de carrera del Cuerpo Superior Salud Pública y Administración Sanitaria. Especialista en Medicina Familiar y Comunitaria. ";"Pontevedra";;;"Diputada. Ministra de Sanidad y Consumo. Ministra de Fomento. Vicepresidenta del Congreso de los Diputados. Subsecretaria del Ministerio de Educación y Cultura. Subsecretaria del Ministerio de la Presidencia. Subsecretaria del Ministerio del Interior.Pres";;;;;;;;;
"Rosana, Pastor Muñoz";"Mujer ";1960,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Divorciada";"Licenciada en Arte Dramático. Actriz. Directora de Teatro. Audiovisual.";"Valencia";;;"Diputada. Secretaria Segunda de la Comisión de Agricultura, Pesca y Alimentación desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"Esther, Peña Camarero";"Mujer";1980,00;"Grupo Socialista";"Soltera";"Licenciada en Sociología por la Universidad de Salamanca. Especialista Universitaria en Integración Laboral. Técnico de inserción laboral para colectivos en exclusión. ";"Burgos";;;"Diputada. Secretaria General del PSOE de Burgos. Vocal de la Diputación Permanente. Vicepresidenta Primera de la Comisión Constitucional desde el 25/07/2018 al 05/03/2019.";;;;;;;;;
"María Mercé, Perea i Conillas";"Mujer ";1966,00;"Grupo Socialista";"Casada";"Licenciada en Derecho. ";"Barcelona";;;"Diputada. Presidenta de la Comisión de ética del Partit dels Socialistes de Catalunya. Secretaria de Política Económica y Social de la Comisión Ejecutiva de la Federación del PSC de L'Hospitalet. Miembro del Consejo Nacional. Vocal en la Sectorial de Just";;;;;;;;;
"Juan Vicente, Pérez Aras";"Hombre";1963,00;"Grupo Popular ";"Casado";"Licenciado en Ciencias Políticas y de la Administración por la Universidad Cardenal Herrera CEU. Técnico Superior en Protocolo y Relaciones Institucionales por la EIP. ";"Valencia";;;"Diputado. Vocal de la Junta Directiva de AVAPOL (Asociación Valenciana de Politólogos). Miembro del Comité Ejecutivo Provincial del PP de Valencia. Miembro del Comité Ejecutivo Regional PPCV.";;;;;;;;;
"María Soledad, Pérez Dominguez";"Mujer";1958,00;"Grupo Socialista";"Casada";"No consta";"Badajoz";;;"Diputada. Vicepresidenta Primera de la Comisión para las Políticas Integrales de la Discapacidad desde el 18/07/2017 al 05/03/2019.";;;;;;;;;
"Margarita, Pérez Herraiz";"Mujer";1955,00;"Grupo Socialista";"Viuda";"Graduada Social. Diplomada. ";"Lugo";;;"Diputada. Vicepresidenta Segunda de la Comisión de Industria, Comercio y Turismo desde el 21/06/2018 al 05/03/2019. Vocal de la Comisión de Agricultura, Pesca y Alimentación desde el 11/07/2018 al 05/03/2019.";;;;;;;;;
"Santiago, Pérez López";"Hombre";1961,00;"Grupo Popular";"Casado";"Doctor en Historia Contemporánea por la Universidad de Granada. Profesor enseñanza secundaria. ";"Granada";;;"Diputado. Portavoz adjunto de la Comisión de Educación y Formación Profesional desde el 10/09/2018 al 05/03/2019. Vicepresidente Primero de la Comisión de Cultura y Deporte desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"María del Carmen, Pita Cárdenes";"Mujer";1958,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Divorciada";"Gestora Procesal";"Las Palmas";;;"Diputada. Secretaria General Podemos Canarias. Vocal Suplente de la Diputación Permanente. Secretaria Segunda de la Comisión de Seguimiento y Evaluación de los Acuerdos Pacto de Toledo desde el 28/09/2016 al 05/03/2019. Presidenta de la Comisión de Invest";;;;;;;;;
"Pere Joan, Pons Sampietro";"Hombre";1970,00;"Grupo Socialista";"Casado";"Licenciado en Ciencias de la Información por la Universitat Autónoma de Barcelona (UAB). Licenciado en Derecho por la Universitat Central de Barcelona (UB). Máster DEA Fac. Jean Monnet (Paris - XI). ";"Islas Baleares";;;"Diputado. Secretario Ejecutivo Ideas Programa PSIB-PSOE. Vocal Suplente de la Diputación Permanente. Presidente de la Delegación española en la Asamblea Parlamentaria de la Organización para la Seguridad y Cooperación en Europa (OSCE).";;;;;;;;;
"Jesús, Posada Moreno";"Hombre";1945,00;"Grupo Popular";"Casado";"Licenciado en Economia. Ingeniero de caminos. ";"Soria";;;"Diputado. Gobernador Civil de Huelva. Consejero de Fomento y Presidente de Castilla y León. Presidente del Congreso de los Diputados (2011-2016).Vocal Suplente de la Diputación Permanente. Presidente de la Comisión Constitucional desde el 16/11/2016 al 05";;;;;;;;;
"Jesús, Postigo Quintana";"Hombre";1953,00;"Grupo Popular";"Casado";"Licenciado en Derecho.";"Segovia";;;"Diputado. Portavoz municipal del Grupo Popular del Ayuntamiento de Segovia (2011-2015). Portavoz adjunto de la Comisión de Defensa desde el 13/09/2016 al 05/03/2019.";;;;;;;;;
"Antoni, Postius Terrado";"Hombre";1984,00;"Grupo Mixto PdeCat ";"Soltero";"Ingeniero Técnico en Informática de Gestión. Licenciado en Derecho. ";"Lleida";;;"Diputado. Concejal en el Ayuntamiento de Lleida. Presidente del Grupo Municipal de CiU. Portavoz de la Comisión sobre Seguridad Vial y Movilidad Sostenible desde el 28/09/2016 al 05/03/2019.";;;;;;;;;
"Antonio, Pradas Torres";"Hombre";1963,00;"Grupo Socialista";"Casado";"Licenciado en Derecho. Especialidad en Derecho Público. ";"Sevilla";;;"Diputado. Secretario de Política Federal CEF PSOE (julio 2014-octubre 2016). Secretario General A.M. El Rubio. Sevilla. Miembro del Comité Director PSOE - A. Vocal Suplente de la Diputación Permanente. Presidente de la Comisión de Hacienda desde el 21/06/";;;;;;;;;
"José Ignacio, Prendes Prendes";"Hombre";1965,00;"Grupo Ciudadanos";"Casado";"Licenciado en Derecho por la Universidad de Oviedo - 1988. M.D.I. Máster en Derecho Inmobiliario - Universidad Complutense.";"Asturias";;;"Diputado. Vicepresidente Primero de la Diputación Permanente. Miembro Suplente de la Delegación española en la Asamblea de la Unión Interparlamentaria (UIP). Vicepresidente Primero del Congreso de los Diputados desde el 19/07/2016 al 05/03/2019. Vicepresi";;;;;;;;;
"Pedro, Quevedo Iturbe";"Hombre";1956,00;"Grupo Mixto Nueva Canarias";"Casado";"Licenciado en Medicina y Cirugía. Profesor asociado de Salud Pública en la ULPGC. ";"Las Palmas ";;;"Diputado. Consejero de Políticas Sociales y Sociosanitarias del Cabildo de Gran Canaria. Concejal del Ayuntamiento de Las Palmas de Gran Canaria. Vocal Suplente de la Diputación Permanente.";;;;;;;;;
"María del Carmen, Quintanilla Barba";"Mujer";1954,00;"Grupo Popular";"Divorciada";"Diplomada en Relaciones Laborales y Profesora de Mercantil. Funcionaria de carrera del cuerpo técnico superior de organismos autónomos de la administración civil del Estado. Becaria del Gobierno de los Estados Unidos en violencia de género. Premio del Min";"Ciudad Real";;;"Diputada. Vicepresidenta de la Subcomisión de Discapacidad de la Comisión de Igualdad y no Discriminación de la Asamblea Parlamentaria del Consejo de Europa. Junta Directiva Nacional del PP. Presidenta de la Comisión Nacional del Mayor del PP. Miembro del";;;;;;;;;
"Artemi, Rallo Lombarte";"Hombre";1965,00;"Grupo Socialista";"Divorciado";"Doctor en Derecho. Catedrático de Derecho Constitucional de la Universidad Jaume I de Castellón. ";"Castellón";;;"Diputado. Secretario de Reformas Democráticas y Transparencia del PSV-PSOE. Secretario Primero de la Comisión de Justicia desde el 13/09/2016 al 05/03/2019
";;;;;;;;;
"Saúl, Ramírez Freire";"Hombre";1976,00;"Grupo Ciudadanos";"Casado";"Licenciado en Publicidad y Relaciones Públicas (UOC). Diplomado en Gestión y Administración Pública (Universidad Complutense).";"Las Palmas";;;"Diputado. Miembro Suplente de la Delegación española en el Grupo de Control Parlamentario Conjunto de Europol. Portavoz de la Comisión de Trabajo, Migraciones y Seguridad Social desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"Elvira, Ramón Ultrabo";"Mujer";1966,00;"Grupo Socialista";"Casada";"Licenciada en Derecho. Licenciada en Ciencias Políticas y de la Administración. Máster en Dirección Política. Técnica en Empleo y Desarrollo Local. ";"Granada";;;"Diputada. Delegada de Igualdad y Bienestar social. Delegada Provincial de Salud de la Junta de Andalucía. Secretaria de Organización de la CEP.";;;;;;;;;
"César Joaquín, Ramos Esteban";"Hombre";1975,00;"Grupo Socialista";"Casado";"Ingeniero Técnico Industrial, Master Executive MBA por la EOI, Máster en Riesgos Laborales. ";"Cáceres";;;"Diputado. Coordinador del Grupo de Gobierno Abierto del PSOE.  Secretario de Innovación del PSOE de Extremadura. Director de Desarrollo de empresa tecnológica. Portavoz de la Comisión de Fomento desde el 13/09/2016 al 05/03/2019.";;;;;;;;;
"María Tamara, Raya Rodríguez";"Mujer";1972,00;"Grupo Socialista";"Divorciada";"Diplomada en Ciencias Empresariales ULL. Máster en Dirección y Administración de Empresas. Directora RRHH. ";"Santa Cruz de Tenerife";;;"Diputada. Concejala del Ayuntamiento de Puerto de la Cruz. Secretaria Primera de la Comisión de Economía y Empresa desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"Patricia, Reyes Rivera";"Mujer";1973,00;"Grupo Ciudadanos";"Divorciada";"Licenciada en Derecho. Máster en Urbanismo y Ordenación del Territorio. Diplomatura en Derecho Penal y Procesal Penal ICAM. Ejercicio de la abogacía. ";"Madrid";;;"Diputada. Concejal portavoz de la oposición en el Ayuntamiento de Boadilla. Vocal de la Diputación Permanente
Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1). Secretaria Cuarta del Congreso de los Diputados desde el 19/";;;;;;;;;
"Águeda, Reynés Calvache";"Mujer";1967,00;"Grupo Popular";"Casada";"Estudiante de Educación Social. Funcionaria en situación de servicios especiales. ";"Islas Baleares";;;"Diputada. Secretaria General de la Junta Local de Mahón del Partido Popular. Vicepresidenta Primera de la Comisión de segto. y eval. acuerdos Pacto de Estado Violencia Género desde el 18/04/2018 al 13/09/2018.";;;;;;;;;
"Irene, Rivera Andrés";"Mujer";1969,00;"Grupo Ciudadanos";"Casada";"Licenciada en Ciencias Físicas. Piloto comercial de Helicópteros. Funcionaria del Cuerpo Superior de Sistemas y Tecnologías de la Información de la Administración General del Estado.";"Málaga";;;"Diputada. Portavoz de la Comisión de Ciencia, Innovación y Universidades desde el 27/06/2018 al 05/03/2019.";;;;;;;;;
"Marta María, Rivera de la Cruz";"Mujer";1970,00;"Grupo Ciudadanos";"Soltera";"Licenciada en Periodismo por la Universidad Complutense de Madrid. Especialista en Comunicación Política por la UCM. Escritora. Inglés, portugués y gallego. ";"Madrid ";;;"Diputada. Vocal Suplente de la Diputación Permanente. Presidenta de la Comisión de Cultura y Deporte desde el 21/06/2018 al 05/03/2019. ";;;;;;;;;
"Albert, Rivera Díaz";"Hombre";1979,00;"Grupo Ciudadanos";"Soltero";"Licenciado y Máster en Derecho.";"Madrid";;;"Diputado. Vocal de la Diputación Permanente. Portavoz de la Comisión Constitucional desde el 12/09/2016 al 05/03/2019. Líder de Ciudadanos. ";;;;;;;;;
"Jordi, Roca Mas";"Hombre";1970,00;"Grupo Popular";"Casado";"Informático. Administrador de Sistemas y Desarrollador. ";"Tarragona";;;"Diputado. Miembro Suplente de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa. ";;;;;;;;;
"Isabel, Rodríguez García";"Mujer";1981,00;"Grupo Socialista";"Licenciada en Derecho por la Universidad de Castilla-La Mancha. ";"Licenciada";"Ciudad Real";;;"Diputada. Directora General de Juventud de Castilla-La Mancha (2007). Vocal Suplente de la Diputación Permanente. ";;;;;;;;;
"Melissa, Rodríguez Hernández";"Mujer";1986,00;"Grupo Ciudadanos";"Soltera";"Arquitecta Superior - UPC - ETSAB (Universidad Politécnica de Cataluña). Máster en Energías Renovables - UEC (Universidad Europea de Canarias). ";"Santa Cruz de Tenerife ";;;"Diputada. Diseñadora de joyas - marca propia ""Lepa punca"". Miembro del Comité Ejecutivo Nacional de Ciudadanos - C's. Portavoz de Ciudadanos en las Islas Canarias.Vocal Suplente de la Diputación Permanente. Miembro Titular de la Delegación española en la ";;;;;;;;;
"Juana Amalia, Rodríguez Hernández";"Mujer";1955,00;"Grupo Socialista";"Casada";"Licenciada en Derecho. Funcionaria de la Junta de Andalucía. Cuerpo de Administradores Generales. ";"Sevilla";;;"Diputada. Directora General de Defensa de la Competencia.  Secretaria General de Relaciones con el Parlamento. Secretaria General de Turismo de Andalucía.";;;;;;;;;
"Ángela, Rodríguez Martínez";"Mujer";1989,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltera";"Licenciada en Filosofía. Posgrado en Pensamiento Contemporáneo. Investigación y creación en Arte Contemporáneo.";"Pontevedra";;;"Diputada. Vicepresidenta Segunda de la Comisión de Igualdad desde el 14/09/2016 al 05/03/2019.";;;;;;;;;
"María Soraya, Rodríguez Ramos";"Mujer";1963,00;"Grupo Socialista";"Divorciada";"Licenciada en Derecho en la Universidad de Valladolid. Especialización en Derecho Comunitario. 
Funcionaria.";"Valladolid";;;"Diputada. Profesora Universitaria Escuela de Relaciones Laborales en Valladolid. Eurodiputada. Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1). ";;;;;;;;;
"Alberto, Rodríguez Rodríguez";"Hombre";1981,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltero";"Técnico Superior en Química Ambiental. Obrero Industrial. Operador en refinería de petróleo. ";"Santa Cruz de Tenerife";;;"Diputado. Participación activa en movimientos sociales de la isla (derechos sociales, civiles, ambientales, etc). y en el movimiento obrero como representante sindical. Vocal Suplente de la Diputación Permanente. Portavoz de la Comisión de Trabajo, Migrac";;;;;;;;;
"Carlos, Rojas García";"Hombre";1970,00;"Grupo Popular";"Soltero";"Abogado. Licenciado en Derecho UGR. Cursos de doctorado en derecho internacional público UGR. PLP Emprendimiento y Sector Público Deusto Business School.";"Granada";;;"Diputado. Portavoz del Grupo Popular en el Parlamento de Andalucía. Vocal de la Diputación Permanente. Miembro de la Delegación española en la Conferencia para la PESC/PCSD.";;;;;;;;;
"Pilar, Rojo Noguera";"Mujer";1960,00;"Grupo Popular";"Casada";"Arquitecto y Urbanista por la ETSA de A Coruña. Arquitecto de la Hacienda Pública del Estado. Diplomada en Alta Dirección por el INAP.";"Pontevedra";;;"Diputada. Miembro del Comité Ejecutivo Regional y del Comité de Dirección del Partido Popular de Galicia. Adscrita de la Comisión de Asuntos Exteriores desde el 31/10/2018 al 05/03/2019.";;;;;;;;;
